Obtido IP do servidor.
Aberto um novo socket.
Iniciando envio de pacotes...
Iniciando recebimento de pacotes...
Enviado pacote # 671.
Enviado pacote # 672.
Enviado pacote # 673.
Enviado pacote # 674.
Enviado pacote # 675.
Enviado pacote # 676.
Enviado pacote # 677.
Enviado pacote # 678.
Enviado pacote # 679.
Enviado pacote # 680.
Enviado pacote # 681.
Enviado pacote # 682.
Enviado pacote # 683.
Enviado pacote # 684.
Enviado pacote # 685.
Enviado pacote # 686.
Enviado pacote # 687.
Enviado pacote # 688.
Enviado pacote # 689.
Enviado pacote # 690.
Enviado pacote # 691.
Enviado pacote # 692.
Enviado pacote # 693.
Enviado pacote # 694.
Enviado pacote # 695.
Enviado pacote # 696.
Enviado pacote # 697.
Enviado pacote # 698.
Enviado pacote # 699.
Enviado pacote # 700.
Enviado pacote # 701.
Enviado pacote # 702.
Enviado pacote # 703.
Enviado pacote # 704.
Enviado pacote # 705.
Enviado pacote # 706.
Enviado pacote # 707.
Enviado pacote # 708.
Enviado pacote # 709.
Enviado pacote # 710.
Enviado pacote # 711.
Enviado pacote # 712.
Enviado pacote # 713.
Enviado pacote # 714.
Enviado pacote # 715.
Enviado pacote # 716.
Enviado pacote # 717.
Enviado pacote # 718.
Enviado pacote # 719.
Enviado pacote # 720.
Enviado pacote # 721.
Enviado pacote # 722.
Enviado pacote # 723.
Enviado pacote # 724.
Enviado pacote # 725.
Enviado pacote # 726.
Enviado pacote # 727.
Enviado pacote # 728.
Enviado pacote # 729.
Enviado pacote # 730.
Enviado pacote # 731.
Enviado pacote # 732.
Enviado pacote # 733.
Enviado pacote # 734.
Enviado pacote # 735.
Enviado pacote # 736.
Enviado pacote # 737.
Enviado pacote # 738.
Enviado pacote # 739.
Enviado pacote # 740.
Enviado pacote # 741.
Enviado pacote # 742.
Enviado pacote # 743.
Enviado pacote # 744.
Enviado pacote # 745.
Enviado pacote # 746.
Enviado pacote # 747.
Enviado pacote # 748.
Enviado pacote # 749.
Enviado pacote # 750.
Enviado pacote # 751.
Enviado pacote # 752.
Enviado pacote # 753.
Enviado pacote # 754.
Enviado pacote # 755.
Enviado pacote # 756.
Enviado pacote # 757.
Enviado pacote # 758.
Enviado pacote # 759.
Enviado pacote # 760.
Enviado pacote # 761.
Enviado pacote # 762.
Enviado pacote # 763.
Enviado pacote # 764.
Enviado pacote # 765.
Enviado pacote # 766.
Enviado pacote # 767.
Enviado pacote # 768.
Enviado pacote # 769.
Enviado pacote # 770.
Enviado pacote # 771.
Enviado pacote # 772.
Enviado pacote # 773.
Enviado pacote # 774.
Enviado pacote # 775.
Enviado pacote # 776.
Enviado pacote # 777.
Enviado pacote # 778.
Enviado pacote # 779.
Enviado pacote # 780.
Enviado pacote # 781.
Enviado pacote # 782.
Enviado pacote # 783.
Enviado pacote # 784.
Enviado pacote # 785.
Enviado pacote # 786.
Enviado pacote # 787.
Enviado pacote # 788.
Enviado pacote # 789.
Enviado pacote # 790.
Enviado pacote # 791.
Enviado pacote # 792.
Enviado pacote # 793.
Enviado pacote # 794.
Enviado pacote # 795.
Enviado pacote # 796.
Enviado pacote # 797.
Enviado pacote # 798.
Enviado pacote # 799.
Enviado pacote # 800.
Enviado pacote # 801.
Enviado pacote # 802.
Enviado pacote # 803.
Enviado pacote # 804.
Enviado pacote # 805.
Enviado pacote # 806.
Enviado pacote # 807.
Enviado pacote # 808.
Enviado pacote # 809.
Enviado pacote # 810.
Enviado pacote # 811.
Enviado pacote # 812.
Enviado pacote # 813.
Enviado pacote # 814.
Enviado pacote # 815.
Enviado pacote # 816.
Enviado pacote # 817.
Enviado pacote # 818.
Enviado pacote # 819.
Enviado pacote # 820.
Enviado pacote # 821.
Enviado pacote # 822.
Enviado pacote # 823.
Enviado pacote # 824.
Enviado pacote # 825.
Enviado pacote # 826.
Enviado pacote # 827.
Enviado pacote # 828.
Enviado pacote # 829.
Enviado pacote # 830.
Enviado pacote # 831.
Enviado pacote # 832.
Enviado pacote # 833.
Enviado pacote # 834.
Enviado pacote # 835.
Enviado pacote # 836.
Enviado pacote # 837.
Enviado pacote # 838.
Enviado pacote # 839.
Enviado pacote # 840.
Enviado pacote # 841.
Enviado pacote # 842.
Enviado pacote # 843.
Enviado pacote # 844.
Enviado pacote # 845.
Enviado pacote # 846.
Enviado pacote # 847.
Enviado pacote # 848.
